@RELATION /share/usr/briese/Pythonscrips/models/multiloc_plants_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE ER_signal5 numeric 
@ATTRIBUTE Vacuole_signal31 numeric 
@ATTRIBUTE Golgi_signal4 numeric 
@ATTRIBUTE Golgi_signal6 numeric 
@ATTRIBUTE Transmembrane_signal2 numeric 
@ATTRIBUTE Mip_signal2 numeric 
@ATTRIBUTE property_sum|1-10|volume numeric 
@ATTRIBUTE AutoCorrelatuion|d=2|1-20|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-70|hydrophob numeric 
@ATTRIBUTE AutoCorrelatuion|d=6|1-60|charge numeric 
@ATTRIBUTE maxPaacountNormed|1-40|leucine|L numeric 
@ATTRIBUTE maxPaacount|1-180|cysteine|C numeric 
@ATTRIBUTE maxPaacount|1-40|hydrophob_slightly|1 numeric 
@ATTRIBUTE Paacount|d=2|1-50|hydrophob_very|2 numeric 
@ATTRIBUTE Paacount|d=2|1--1|hydrophob_very|2 numeric 
@ATTRIBUTE letterCount|1-20|1|charged numeric 
@ATTRIBUTE Paacount|d=2|1--1|charge_none|0 numeric 
@ATTRIBUTE letterCount|1-30|2|aliphatic_helix_other numeric 
@ATTRIBUTE maxPaacountNormed|1--1|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_cyt numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE prosite_clust_mem numeric 
@ATTRIBUTE 0005783 numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE 0005777 numeric 
@ATTRIBUTE 0009507 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,cTP,ER,ex,gol,mTP,nuc,per,mem,vac} 
 
@DATA 
245,50.988,30,7.682,13,0.875,3.709,20,1289.1,0.125094588235,0.193083730159,35.283641566,0.00505050505051,0,0.233333333333,0.0212765957447,0.0622406639004,4,0.460580912863,9,0.169421487603,1,0,0,0,0,1.0,0,0,2,cyt 
255,48.896,45,7.682,13,0.833333333333,3.709,20,1289.2,0.161199,0.218927174603,33.663787,0.00505050505051,0.00561797752809,0.151515151515,0.0851063829787,0.0836653386454,6,0.426294820717,12,0.134920634921,1,0,0,0,0,1.0,0,0,2,cyt 
246,51.04,24,7.562,12,0.833333333333,3.16,20,1274.4,0.101387176471,0.202358492063,36.8471113774,0.00714285714286,0.00609756097561,0.121212121212,0.0212765957447,0.0537190082645,5,0.433884297521,10,0.16049382716,1,0,0,0,0,1.0,0,0,2,cyt 
247,51.968,36,6.862,13,0.666666666667,3.217,20,1239.9,0.117680411765,0.180606380952,36.2184993019,0.00505050505051,0,0.16,0.0212765957447,0.0740740740741,5,0.444444444444,9,0.139344262295,1,0,0,0,0,1.0,0,0,2,cyt 
486,42.636,18,5.308,13,1.0,3.732,0,818.7,0.269604,0.178368428571,42.6171218113,0,0.00581395348837,0.378378378378,0.0,0.0746887966805,1,0.491701244813,12,0.151138716356,0,0,0,0,0,0,0,0,0,cyt 
497,33.736,0,5.009,12,0.875,3.732,0,1108.9,0.292292882353,0.220947269841,44.1657244528,0.00285714285714,0.00588235294118,0.46875,0.0,0.0831643002028,1,0.515212981744,17,0.15991902834,0,0,0,0,0,0,0,0,0,cyt 
467,45.096,18,5.041,13,0.833333333333,3.732,0,925.9,0.195967941176,0.218534444444,42.373026,0,0.00609756097561,0.27027027027,0.0425531914894,0.0950323974082,2,0.488120950324,12,0.155172413793,0,0,0,0,0,0,0,0,0,cyt 
453,44.938,27,4.524,12,1.0,2.851,20,698.9,0.291067235294,0.238910714286,30.7300296415,0,0.00591715976331,0.263157894737,0.063829787234,0.0913140311804,1,0.467706013363,9,0.14,1,0,0,0,0,0,0,0,2,cyt 
425,63.188,18,0,13,0.666666666667,2.668,20,1201.0,0.150328647059,0.155603444444,32.8029733585,0.00925925925926,0,0.115384615385,0.0212765957447,0.0475059382423,9,0.465558194774,18,0.168246445498,0,0,0,0,0,0,0,0,0,cyt 
286,42.776,36,4.349,13,1.0,2.192,60,1341.8,0.209732764706,0.220253761905,36.588373283,0.00505050505051,0,0.15,0.0851063829787,0.0957446808511,2,0.531914893617,11,0.123674911661,0,0,0,0,0,0,0,0,2,cyt 
561,40.492,90,5.673,13,0.833333333333,5.833,5,1205.9,0.157229,0.23947,39.9459716792,0.00277777777778,0.00584795321637,0.241379310345,0.063829787234,0.08078994614,3,0.497307001795,12,0.114695340502,0,0,0,0,0,0,0,0,0,cyt 
913,43.04,45,3.137,13,0.7,3.493,0,1216.4,0.170769352941,0.210629111111,29.551050566,0.00277777777778,0,0.2,0.0425531914894,0.0616061606161,2,0.53795379538,17,0.204395604396,0,0,0,0,1.0,0,0,0,2,cyt 
504,39.472,27,5.962,15,1.0,2.882,60,1301.9,0.236765647059,0.240202269841,39.1500173962,0.010101010101,0,0.176470588235,0.063829787234,0.066,0,0.544,11,0.11377245509,0,0,0,0,0,0,0,0,0,cyt 
911,42.068,36,6.281,14,1.0,3.529,20,1121.6,0.229888058824,0.194808190476,32.8503206038,0,0,0.483870967742,0.0212765957447,0.0595369349504,1,0.455347298787,10,0.145374449339,1,0,0,0,0,0,0,0,2,cyt 
412,36.796,18,5.89,12,0.833333333333,3.159,20,1124.0,0.403483764706,0.248827444444,37.6942964151,0.00714285714286,0,0.285714285714,0.127659574468,0.0759803921569,1,0.583333333333,14,0.134474327628,0,0,0,0,1.0,0,1.0,1.0,0,cyt 
396,25.984,0,6.391,13,0.875,3.127,20,1043.8,0.391685823529,0.250225079365,36.6840410377,0.0526315789474,0.00581395348837,0.4,0.063829787234,0.0612244897959,0,0.517857142857,12,0.157760814249,0,0,0,0,0,0,0,0,0,cyt 
1130,40.034,27,5.796,13,0.7,4.685,10,1282.4,0.287683176471,0.212871730159,35.0328635283,0.0135135135135,0.00621118012422,0.194444444444,0.0851063829787,0.0408525754885,1,0.530195381883,10,0.157941437445,1,0,1,0,0,1.0,0,0,0,cyt 
1182,37.208,18,6.466,12,0.833333333333,4.685,30,1059.7,0.188784176471,0.174209174603,41.6572778868,0,0,0.346153846154,0.0212765957447,0.053480475382,1,0.560271646859,12,0.14673452078,1,0,1,0,0,1.0,0,0,0,cyt 
74,19.372,18,6.297,15,0.875,2.177,20,1182.9,0.376502235294,0.310686301587,36.0792124528,0.0263157894737,0,0.25,0.0851063829787,0.0857142857143,2,0.542857142857,8,0.0281690140845,0,0,1,0,0,1.0,0,0,10,cyt 
1101,47.77,18,5.446,17,0.666666666667,3.444,20,1088.8,0.266065705882,0.278623555556,37.1544744906,0.0263157894737,0,0.2,0.0212765957447,0.0847766636281,2,0.566089334549,8,0.0938069216758,0,0,0,0,0,0,0,0,0,cyt 
670,37.704,27,5.176,13,0.666666666667,4.814,5,1181.4,0.249315352941,0.252785365079,32.4383632075,0,0,0.25,0.0212765957447,0.0645645645646,2,0.534534534535,15,0.107946026987,0,0,0,1.0,1.0,0,0,0,0,cyt 
701,39.3,18,6.596,14,0.833333333333,5.298,0,1192.1,0.0676598823529,0.155747936508,43.2783274528,0,0,0.48275862069,0.0,0.0746054519369,4,0.540889526542,11,0.107449856734,0,0,0,1.0,1.0,0,0,0,0,cyt 
377,44.18,9,5.643,13,1.0,3.823,20,1095.2,0.194437823529,0.207659015873,34.8317363774,0.00403225806452,0.00581395348837,0.28125,0.063829787234,0.0750670241287,5,0.552278820375,11,0.120320855615,1,0,0,0,1.0,0,0,0,2,cyt 
408,41.608,18,6.155,14,1.0,2.941,20,1114.9,0.176219588235,0.275107761905,37.8681299434,0.00588235294118,0,0.235294117647,0.106382978723,0.0866336633663,3,0.55198019802,13,0.138271604938,0,0,0,0,0,0,0,0,2,cyt 
374,31.544,18,6.843,13,0.833333333333,3.456,60,1185.8,0.318595941176,0.290448428571,37.2094383019,0,0.0113636363636,0.2,0.148936170213,0.1,1,0.575675675676,7,0.0700808625337,1,0,0,0,1.0,0,0,0,2,cyt 
375,26.544,18,6.104,13,0.833333333333,4.016,30,1185.8,0.322946294118,0.279060349206,38.0349433962,0.00714285714286,0.0113636363636,0.2,0.148936170213,0.10781671159,1,0.595687331536,8,0.0887096774194,1,0,0,0,1.0,0,0,0,2,cyt 
375,33.544,18,5.051,15,0.833333333333,4.158,60,1185.8,0.325903470588,0.254539174603,38.0376795849,0,0.0114942528736,0.190476190476,0.127659574468,0.105121293801,0,0.55795148248,8,0.0913978494624,1,0,0,0,1.0,0,0,0,2,cyt 
375,31.372,18,5.175,14,1.0,4.457,60,1111.0,0.329337882353,0.284288539683,39.763388717,0.00446428571429,0.0114285714286,0.210526315789,0.127659574468,0.11320754717,0,0.587601078167,6,0.0779569892473,1,0,0,0,1.0,0,0,0,2,cyt 
379,28.836,18,6.104,15,0.833333333333,3.187,30,1235.6,0.302828882353,0.235480396825,35.7450698302,0,0.0113636363636,0.142857142857,0.127659574468,0.104,2,0.589333333333,9,0.0957446808511,1,0,0,0,1.0,0,0,0,2,cyt 
368,26.164,36,5.298,15,0.833333333333,4.615,30,1113.7,0.334322470588,0.292258238095,38.9917954717,0,0.0113636363636,0.210526315789,0.127659574468,0.112637362637,0,0.60989010989,8,0.0520547945205,1,0,0,0,1.0,0,0,0,2,cyt 
