@RELATION /share/usr/briese/Pythonscrips/models/bacello_plants_model_features.arff
@ATTRIBUTE size numeric 
@ATTRIBUTE Mono_NLS_signal26 numeric 
@ATTRIBUTE Vacuole_signal37 numeric 
@ATTRIBUTE Mip_signal2 numeric 
@ATTRIBUTE Mip_signal13 numeric 
@ATTRIBUTE aliphatic_helix_normed numeric 
@ATTRIBUTE AutoCorrelatuion|d=4|1-60|charge numeric 
@ATTRIBUTE letterCountNormed|1-10|0|hydrophob numeric 
@ATTRIBUTE letterCount|1-50|1|charged numeric 
@ATTRIBUTE letterCount|1-170|1|charged numeric 
@ATTRIBUTE maxPaacountNormed|-100--1|charge_none|0 numeric 
@ATTRIBUTE Paacount|d=4|1--1|charge_positive|2 numeric 
@ATTRIBUTE maxPaacount|1-160|structure_sheet|2 numeric 
@ATTRIBUTE Paacount|d=4|1-140|hydroxylated_none|0 numeric 
@ATTRIBUTE Paacount|d=4|1--1|aliphatic_helix_other|2 numeric 
@ATTRIBUTE prosite_clust_nuc numeric 
@ATTRIBUTE 0005739 numeric 
@ATTRIBUTE 0005576 numeric 
@ATTRIBUTE 0009507 numeric 
@ATTRIBUTE go_one numeric 
@ATTRIBUTE response {cyt,mTP,nuc,SR,cTP} 
 
@DATA 
898,39.932,9.119,5,-2.154,0.398978179831,35.3817005091,0.0114068441065,7,25,0.571428571429,0.0201793721973,0.0642857142857,0.422222222222,0.106502242152,0,0,0,0,0,cyt 
381,40.512,9.349,20,-2.884,0.2704492844,35.4924115091,0.0408163265306,6,21,0.663265306122,0.00533333333333,0.0816326530612,0.577777777778,0.104,0,1.0,0,0,2,cyt 
139,34.624,9.089,20,-1.569,0.352594161645,35.8876011636,0.0363636363636,8,22,0.5,0.0225563909774,0.0859375,0.522388059701,0.105263157895,0,0,0,0,2,cyt 
382,28.84,9.713,20,-1.364,0.280225434846,36.3107600364,0.0178571428571,5,21,0.469387755102,0.0159574468085,0.112582781457,0.585185185185,0.106382978723,0,1.0,0,0,2,cyt 
469,26.592,9.443,20,-3.186,0.364192620705,34.1211707636,0.029197080292,7,19,0.489795918367,0.0129589632829,0.0866666666667,0.340740740741,0.120950323974,0,0,0,0,0,cyt 
243,27.528,11.515,15,-1.01,0.393893919642,42.5316569818,0.0149253731343,0,17,0.479591836735,0.0295358649789,0.0758620689655,0.4,0.0928270042194,0,0,0,0,2,cyt 
249,41.74,7.708,60,-1.725,0.309306976783,40.8815790364,0.05,5,21,0.479591836735,0.0288065843621,0.0454545454545,0.525925925926,0.0946502057613,0,1.0,0,0,2,cyt 
356,30.968,7.896,5,-1.898,0.355139267325,34.0314951636,0.01,7,17,0.489795918367,0.00857142857143,0.0897435897436,0.459259259259,0.0885714285714,0,1.0,0,1.0,0,cyt 
159,33.492,10.673,20,-1.107,0.351824644632,34.9221181455,0.0566037735849,6,23,0.397959183673,0.0196078431373,0.0903225806452,0.622222222222,0.111111111111,0,0,0,0,0,cyt 
970,51.408,8.544,20,-2.931,0.421819454913,34.8719499636,0.00308641975309,8,29,0.612244897959,0.0124481327801,0.0479452054795,0.451851851852,0.120331950207,0,0,0,0,2,cyt 
181,32.04,10.956,5,-1.426,0.369314173365,35.0204722545,0.0384615384615,4,17,0.551020408163,0.0171428571429,0.104166666667,0.459259259259,0.114285714286,0,0,1.0,0,8,cyt 
181,45.724,8.058,5,-2.477,0.362148705639,34.9230070727,0.0862068965517,9,28,0.540816326531,0.0114285714286,0.0723684210526,0.533333333333,0.12,0,0,0,0,0,cyt 
325,27.392,9.829,20,-1.779,0.261217599193,34.9807316182,0.0449438202247,8,21,0.622448979592,0.012539184953,0.0805369127517,0.548148148148,0.115987460815,0,1.0,0,1.0,0,cyt 
163,59.982,6.9,20,-3.799,0.305638414647,38.2332652,0.0625,3,15,0.581632653061,0.0445859872611,0.0774193548387,0.718518518519,0.108280254777,0,0,0,0,2,cyt 
396,67.326,8.535,5,-2.09,0.393813935346,33.1291373273,0.0173913043478,5,23,0.632653061224,0.0205128205128,0.0714285714286,0.525925925926,0.0871794871795,0,0,0,0,2,cyt 
401,34.952,11.824,0,-1.745,0.347947960197,34.2155781818,0.00709219858156,9,25,0.551020408163,0.0151898734177,0.0714285714286,0.562962962963,0.13164556962,0,0,0,0,2,cyt 
845,47.558,9.494,20,-2.127,0.375980391467,35.2083090182,0.0145454545455,5,25,0.612244897959,0.015494636472,0.124183006536,0.592592592593,0.104886769964,0,0,0,0,0,cyt 
446,27.456,9.915,15,-1.406,0.356670347775,34.7289170545,0.00680272108844,5,14,0.540816326531,0.0136363636364,0.0985915492958,0.6,0.125,0,1.0,1.0,0,2,cyt 
436,51.396,8.136,5,-2.268,0.380338871026,37.0802505455,0.0490797546012,7,22,0.438775510204,0.0232558139535,0.0821917808219,0.525925925926,0.118604651163,0,0,0,0,2,cyt 
320,44.684,8.878,20,-2.491,0.289759003992,36.4936449455,0.0363636363636,5,15,0.459183673469,0.0191082802548,0.114093959732,0.496296296296,0.124203821656,0,0,0,0,2,cyt 
687,30.4,11.022,5,-3.098,0.333327483578,36.4900866727,0.0,4,19,0.683673469388,0.0161527165932,0.0759493670886,0.488888888889,0.129221732746,0,0,0,0,2,cyt 
349,43.584,9.61,5,-1.68,0.285058575843,32.6386787091,0.0252100840336,5,28,0.489795918367,0.0174927113703,0.124183006536,0.622222222222,0.134110787172,0,0,0,0,2,cyt 
